"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30"
"ANSP_198923",0.0762816289740247,0.120406594363197,-0.0383437739080257,-0.0264360592424454,-0.0654331111834171,0.111158609775106,0.0429453897924866,0.0406732203169073,0.0216802211764394,-0.0529708302739822,-0.00278553699058278,0.0203620101957581,-0.00424360484068013,0.00599107624896403,0.00768367871600433,0.00661604717246422,-0.00891040763841672,0.0194523047173886,0.0137916978191382,0.0137859466095206,0.00836628259927264,0.00162662893465382,-0.00600598487769155,-0.00776488498145266,0.0050206315831081,-0.00572132558838507,-0.00679442763994787,0.0123047445340788,-0.00399096339056155,0.0168961943894098
"FMNH_92883",0.0764202710935508,0.165107567315751,0.0905045598239709,0.0589216348337982,0.0114401799777632,0.0050062141907302,-0.017129445634086,-0.00527167589573207,0.002533447932163,-0.00828387437884802,-0.0167308434021733,0.0163167566024665,-0.0142630967096253,-0.017385942006829,-0.0181342086108322,-0.0150769560887926,0.0123726024404132,-0.044151243165181,0.00346653735108668,0.0243485163162754,-0.0146418064901302,0.00599988965960615,-0.0169657677148827,0.0153703518720386,0.00517446470994697,-0.00446129331478693,-0.013819209266395,0.00381936902398798,0.0050915994873931,0.0109811299464657
"MCP_12557",-0.189775624391802,0.088616802159742,0.0566447854274881,0.131850470146305,0.0176740351289941,-0.0498154943130044,-0.0117776337388379,-0.0110650183767251,-0.00835134640403717,-0.0239545569120111,0.0423050922898529,-0.0264040074268221,0.0553629530265155,-0.0326290375917165,-0.0103374281640706,-0.0100761446175658,0.0121102321269855,0.0343199422606706,0.0108416052215688,-0.00892554899455989,-0.0078433256970129,0.00331083199021734,0.00243830045957368,0.00356282142956557,0.0160907391593269,0.0168335689984529,0.0036682818646307,-0.00280068282522135,-0.00317383196333814,-0.00856564186871386
"MCP_42436",-0.161274317617857,0.0380703054238117,0.160461017258307,0.113080234352646,0.0568439240951021,-0.0990056200465358,-0.00556008429740541,0.0165483585792473,-0.0199952701367821,-0.0141715983824337,0.0531030692874759,0.010181152668454,0.0450234653965689,-0.0348330743398031,-0.00978872804898739,0.00270707568128315,0.0242599060061618,-0.0102103496314033,0.0173341638560745,0.0313627728509697,-0.0212322888043045,0.0059223619218715,0.0137467798050973,-0.00838131018385652,-0.00473873485176553,0.00556124859541036,-0.00618207504496795,-0.00172250209066943,0.00844591645767116,0.000289224063164492
"USNM_300465",-0.0393145098991484,0.163999930905279,0.0469294311968307,0.0528174998681041,0.0149594737686669,-0.000281129589371866,0.0549659433824191,-0.0224586396787296,-0.0226080555922176,0.0188906260430695,-0.0100968186717406,-0.00914540507433996,0.00370228948424466,-0.00100266022513304,0.0127069080962769,0.0292769836806342,-0.00427437450261956,0.0197533382752802,-0.0248115082835276,-0.0229114578454043,-0.00324195273935242,-0.0142604051969123,-0.0366934404787905,-0.0115176776535226,-0.0148440645348005,-0.00971609098505153,-0.00736994257758337,0.00250527408948225,0.0132904105441546,-0.00527164587548289
"LBP_2652",-0.111260857803112,0.124879144297248,0.163360528857528,0.0750459877882611,0.0305763410275339,-0.0220998986156432,-0.0619328880622666,0.0200681872532569,0.00114006825834138,0.00440108289757563,0.0175985237655623,0.0129316146822225,0.0413732456826224,-0.0151209769643311,-0.00133050874012671,-0.0347032675171033,0.0244456250122313,-0.0332084578160806,-0.00198686795655413,-0.00559481968765291,0.009287469193882,0.0103815398267805,0.0026322887384334,0.00138876969608251,0.00380149499768685,-0.0227874555279261,0.00265808806663061,-0.00538814812424432,0.002374667768349,0.00217030589498159
"MCP_43883",-0.0756892008195615,0.0886656353287914,0.147788225367365,0.0324628501112689,0.0793497429748368,-0.0125398380944189,-0.0139662734685099,-0.0313946660950225,0.0175051180600057,-0.0133950854784024,0.0373592861444259,-0.00593600833618824,-0.0222412145519832,-0.00412551181449295,-0.00764612948045159,-0.0141529464402757,-0.00817882370371351,0.0157874434909634,-0.0145809516594903,-0.00611234186080492,0.00307088798425525,0.00077656232366796,-0.00723103233260853,0.00270479121816616,0.016676252727197,-0.00390000597747372,0.00610960573084623,0.00192774775706952,-0.00714229040239839,0.00584488321478445
"MCP_35888",-0.000111916590735581,0.202146655201037,0.0908057679891508,0.0598111779079161,0.0206549732588159,0.043950916487439,0.0406242134763949,0.0700337992205129,-0.00244628159636777,-0.0377900442788468,-0.0528182146318761,0.0785734477176939,0.00220284585934988,0.00389032792305272,0.0535777794292053,0.00851398894067565,-0.0538909755918268,-0.000616773951344044,0.0280725662288615,-0.0253663791039059,-0.0133420097323778,0.00286921393231927,0.0377755630586084,-0.0176208891603271,0.00487637259737097,-0.00334417849527695,0.00331220586481239,-0.00577421069973522,-0.00954768412649738,-0.00846898875191823
"MCP_51458",-0.0194839367537712,0.237747345837238,0.0512440306031722,0.0393224064235159,0.0358008767742991,0.0706521043296868,-0.0386873713046214,0.0295520118281036,0.0173225720698655,0.0214692733306954,0.000265068994609216,-0.000168711557095381,0.00317625351832215,-0.02970553316238,0.00750569076194376,-0.029105601309557,0.00205529510394171,0.0300266114943482,-0.0150002049487898,0.00139413022253974,-0.00570171587067882,0.0113960843531398,0.00862560574124148,-0.0118282493111336,-0.00675468848284592,0.0145843948479028,-0.000930649357926763,0.00848714529979649,0.00212242927568365,0.00872605547952728
"AMNH_251432",0.011622715691728,0.187238774393882,-0.00679975509958091,0.0942733985005152,-0.0110301016243885,-0.0079030461831254,-0.0255899968283635,-0.024496865267351,0.0281253558744419,0.0232776878786879,-0.0114414946235605,-0.018423958742001,0.00365383638786843,-0.0194513717909811,0.00093346784183878,0.00180849655442633,-0.020691513799527,-0.00176475702187852,0.00188733433029548,0.000900421581851885,-0.0174919106692197,0.0104860629731611,0.0065346527905958,0.0082619150327909,-0.00283040712666219,-0.0150265270267808,0.00288965726142756,0.00252176058735293,-0.00304670221037838,0.00583770321168605
"ANSP_174117",0.0567361781559535,0.146115202870366,0.0296901170984327,0.0386080854641108,-0.0827452712971613,-0.057550948180228,-0.0477380300589929,0.0331617997592585,0.0365252627406481,0.05528674073485,0.0318878172684467,-0.0229551556330246,-0.00416602569342872,-0.0146627665971517,-0.00624361499936406,0.00150898226123621,-0.0378144565100009,0.0171698940408543,0.0239785442308539,0.00488098261687603,-0.01489779170854,0.00127605596301321,0.0121414568273118,0.00675201601005819,-0.00570391338134793,0.00405730511346755,0.00598058712022403,-0.00822319217794196,0.00637202537923196,0.0064261095029956
"AUM_67015",-0.208663674161143,-0.0210505160553709,0.118820634665421,0.0349017327582179,0.0493793567852773,0.0170028919761196,-0.00411077504579172,-0.0301100614918769,0.0161799764863688,-0.0485293430653011,-0.0447810285045083,0.00222040709664744,0.0419922460802865,-0.0117927834617805,-0.0119004065508075,-0.0243782236746296,-0.0186290252122017,-0.0126833322858929,-0.0146179419213727,-0.00184565621019554,-0.00768514176546332,0.0073769586462346,-0.0134944803711017,0.0058622913233332,-0.00376704175238086,0.00395910070383633,-0.011961317040655,0.00256710785185477,0.00655784020764405,0.00407006496018093
