"","sp_rich","replicate","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"66",2,66,0.355814493989061,0,NA,NA,0.196303697651685,-0.045944475807788,-0.0430706934122543,-0.0348624796576235,-0.00947634611860445,-0.0132880066303416,0.0181555711281025
"67",2,67,0.184326094092706,0,NA,NA,0.137356942148841,-0.0294772032050251,-0.0431471254055094,0.0109795037407388,-0.0748100881008669,-0.0116942499998285,-0.0180154252442743
"68",2,68,0.260760486393709,0,NA,NA,0.177977502360731,-0.0710722488194369,0.114706255470515,0.0649840770700933,0.0793939947243912,0.0309100897520939,-0.0059707526477394
"69",2,69,0.447658072094959,0,NA,NA,0.215368979936083,-0.15041360597789,-0.0476344382195567,-0.0320403598571972,-0.0011068422340172,-0.0232637921694819,0.00305851720186489
"70",2,70,0.360337061297141,0,NA,NA,0.35139014422147,0.177912235544097,-0.0653224915660694,-0.0256212421400424,-0.0112102811228747,0.0098053923270149,-0.050357800472442
"71",2,71,0.232197710730381,0,NA,NA,0.156049911056679,0.0273436011758192,0.043327399660329,0.0366363797916967,-0.0378071927153608,-0.0310558993614289,-0.0113843967517817
"72",2,72,0.443948240037267,0,NA,NA,0.390373030123811,0.13228008505294,-0.098206855271692,0.0261643131245092,-0.0121299595777637,-0.0374401419566706,-0.0216411469961192
"73",2,73,0.128613319617997,0.0209038640880094,NA,NA,0.208108231936518,0.0172170332910388,0.175506226392802,0.0662949685938465,0.0582760401598317,0.0375822487353807,-0.0135408640434327
"74",2,74,0.133229584569551,0,NA,NA,0.155900371950964,0.0597929622655857,0.103240151605942,0.0938779320711347,0.0681271153455957,0.0003933553134918,-0.0057331144074066
"75",2,75,0.119178631066636,0.0682130390787076,NA,NA,0.171044139534184,0.0318424521077371,0.0748705754409601,0.0158494847443186,-0.0634743899026344,-0.0202103774415433,-0.0050156466764356
"76",2,76,0.237165832862364,0.117685958088894,NA,NA,0.210873687291224,0.093361859223556,-0.0638675444499491,-0.0299667217879071,0.0400744823594796,-0.0722598036165598,-0.0127240960867669
"77",2,77,0.131643696978986,0.0626716372286897,NA,NA,0.142975647229216,0.00868018926070076,0.0573798596825674,0.0452029284391519,-0.031907999736696,-0.0110234924714405,-0.00125793607094001
"78",2,78,0.340306199299445,0,NA,NA,0.236600723493095,-0.0477086060823163,0.0370288262356345,0.0502915587324605,-0.0174347952388124,-0.0493792381124107,-0.019275489291182
"79",2,79,0.128223270065118,0,NA,NA,0.224869748652873,-0.00262736075024717,0.179601717330071,0.0571731700849795,0.0502438208017433,0.0183980198568326,-0.00492897141377582
"80",2,80,0.602203881640956,0,NA,NA,0.440660092550369,0.0683887564406975,-0.121411946162269,0.0732131004944513,0.0417702462412198,0.0128250258418494,-0.0021926817070255
"81",2,81,0.276549386006841,0,NA,NA,0.15912231454315,0.001765817271096,-0.0381394094428377,-0.0249136772605184,-0.00881141315555665,-0.0292283651175505,0.006195874921514
"82",2,82,0.117929348553983,0,NA,NA,0.197561988460187,0.0807412065065485,0.136629333973347,-0.00127136751104159,0.00682595799176125,-0.048845121953066,0.0056863878003464
"83",2,83,0.106172011246018,0.0379211342381167,NA,NA,0.231203840840255,-0.0605547842726701,0.114408392383216,0.128289007053344,0.0473475471384838,0.0320949062728631,-0.0122188945610161
"84",2,84,0.204874487660758,0,NA,NA,0.177465934007389,-0.101142711632376,0.0827307794952866,0.0533823581673005,0.0536316618345642,0.0365713695757818,-0.00400211290356054
"85",2,85,0.351643924134582,0,NA,NA,0.18654101950289,-0.030211574929082,-0.0209766419049101,-0.00172699820927405,0.00780876419533952,-0.0038355379102595,-0.0058758264582918
"86",2,86,0.102190810512781,0.0310254922930184,NA,NA,0.233353598698669,-0.0785738582389862,0.0802673093016336,0.129196095244286,0.027278340663017,0.04860544967315,-0.0373125486545579
"87",2,87,0.563481587909365,0,NA,NA,0.366085117564445,0.172254847830594,-0.00274734513923,0.0371361185193503,0.0485145207205496,0.00740893090532685,-0.0026391761077683
"88",2,88,0.110327820642924,0,NA,NA,0.210905704233794,0.0279856464292469,0.137907078334196,0.0310423860103986,-0.0168534528015842,-0.0520881536743499,-0.0012253674592241
"89",2,89,0.121921631252387,0.0458325254356962,NA,NA,0.14543156746338,0.014006224900824,0.0794945898211418,-0.00260933743854,-0.0146323734549133,-0.0242208736046501,0.0207048422798175
"90",2,90,0.279685626057535,0,NA,NA,0.211868565837401,-0.0188701234504308,0.110343117395474,0.0257253778839188,0.0494432550503849,0.0426979474370675,0.0231690123666601
"91",2,91,0.141388351381508,0,NA,NA,0.112105899994423,0.0778587858060377,0.0207663853006672,-0.0193833603322672,-0.00657181142475325,-0.0179960826331776,0.0562948632551541
"92",2,92,0.18447646806954,0.196224726796281,NA,NA,0.4197654450817,0.230334448197688,-0.0875765263101505,0.063158776936925,0.0994896966368651,-0.0488920039879427,-0.033067091389983
"93",2,93,0.331091507427734,0.00486128270845037,NA,NA,0.430720038733421,0.169819320066319,-0.161046590236809,0.000166742638834168,0.0840686906204263,-0.00680517348424819,-0.002735246398489
