"","sp_rich","assemblage","cell_long","cell_lat","country","locality","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"288",3,"19178632",-42.5164457201882,-22.9346430708647,"BR","Rio Mato Grosso",0.290591682493312,0.109859250805577,NA,NA,0.309509931699572,0.0211195626918076,-0.00804359116265903,0.0261329102983976,0.0225722815037826,0.0167137866937964,0.0110863378486447
"289",2,"19213698",-44.3198109193393,-23.0026130951597,"BR","Angra dos Reis",0.217121149696714,0,NA,NA,0.302174763742178,0.246503227691705,-0.195497132632263,0.0075315572943381,0.0823444492729545,-0.0395031000816957,-0.0276697647384827
"290",2,"19226863",-44.8380193098999,-23.028110475516,"BR","rio Bangú (afluente da margem esquerda do rio Jacuí-Mirim, margem esquerda do Paraitinga), localidade de Bangú",0.295171383429373,0,NA,NA,0.210608326176854,0.125136489954104,0.0058996390231541,-0.0162514419300533,-0.0211900667011567,-0.0191981410736204,-0.0381319630804567
"291",2,"19238901",-57.0366448236974,-23.0536125701959,"PY","Estancia Laguna Negra, Laguna Negra, ca 1.5 km from estancia buildings",0.456601421789052,0,NA,NA,0.232237213461555,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"292",2,"19253281",-44.9623893236345,-23.079119386817,"BR","Rio Manso, Bairro Monjolo.",0.456601421789052,0,NA,NA,0.2311730749997,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"293",2,"19279717",-44.9002043167672,-23.130147216409,"BR","Rio da Aparição, nascente do Paraibuna, estrada Cunha-Parati.",0.108192458299465,0,NA,NA,0.295426369696232,-0.305424374980115,-0.0932668110079306,-0.0442918898239987,0.027648129176937,0.00397890614785217,0.0351116235904824
"294",4,"19367820",-44.8691118133335,-23.3003774004194,"BR","Rio Iriri, afluente s/ nome; Ubatumirim, ponto Impactado 03",0.201422295420703,0.0764218079081525,0.00032777493230061,NA,0.218726087164548,0.0790315120668198,-0.0370558975335891,-0.0144936484558932,-0.0476912464670626,0.016406823435438,0.000701407454412725
"295",2,"19371618",-51.1601616747397,-23.3088944861311,"BR","Sem Dados",0.248902216696928,0,NA,NA,0.351691598517939,0.0226166458925846,0.079586884637865,-0.0777887645531597,-0.0349601877826349,-0.0844816419427264,-0.0139956761728656
"296",2,"19372219",-44.9312968202008,-23.3088944861311,"BR","Brasil, Sao Paulo, Rio Puruba (also called Rio Ubatumirim on map), small north branch about 5 kilometer from Road Bridge 101, north and east of Ubatuba.",0.346457338142546,0,NA,NA,0.249842930911891,0.141936131182993,-0.0220009268399605,0.019462749008456,-0.00290748928918592,-0.0236166919605359,-0.0705668756149941
"297",2,"19420667",-45.0038459948793,-23.4026176827036,"BR","Rio Itamambuca",0.456601421789052,0,NA,NA,0.429990545156334,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
